API_Name,Price,Memory,vCPUs,Cores,GFLOPS,memBandwidth,NVMe,storageVolumes,sizePerVolume,readStorageBandwidth,writeStorageBandwidth,networkBandwidth
c5.12xlarge,2.0400000000,96.0,48,24,2304,131230,false,8,96,1000,1000,1500
c5.18xlarge,3.0600000000,144.0,72,36,3456,196845,false,8,128,1000,1000,2500
c5.24xlarge,4.0800000000,192.0,96,48,4608,262460,false,8,192,1000,1000,3125
c5.2xlarge,0.3400000000,16.0,8,4,384,21871.66667,false,4,32,287.5,287.5,312.5
c5.4xlarge,0.6800000000,32.0,16,8,768,43743.33333,false,4,64,500,500,625
c5.9xlarge,1.5300000000,72.0,36,18,1728,98422.5,false,8,64,850,850,1250
c5.xlarge,0.1700000000,8.0,4,2,192,10935.83333,false,2,32,143.72,143.72,156.25
c5a.12xlarge,1.8480000000,96.0,48,24,2150.4,102400,false,8,96,593.75,593.75,1500
c5a.16xlarge,2.4640000000,122.0,64,32,2867.2,136533.3333,false,8,128,787.5,787.5,2500
c5a.24xlarge,3.6960000000,183.0,96,48,4300.8,204800,false,8,192,1000,1000,3125
c5a.2xlarge,0.3080000000,15.25,8,4,358.4,17066.66667,false,4,32,100,100,312.5
c5a.4xlarge,0.6160000000,30.5,16,8,716.8,34133.33333,false,4,64,197.5,197.5,625
c5a.8xlarge,1.2320000000,61.0,32,16,1433.6,68266.66667,false,8,64,396.25,396.25,1250
c5a.xlarge,0.1540000000,7.5,4,2,179.2,8533.333333,false,2,32,50,50,156.25
c5ad.12xlarge,2.0640000000,91.5,48,24,2150.4,102400,true,2,900,1689.6,737.28,1500
c5ad.16xlarge,2.7520000000,122.0,64,32,2867.2,136533.3333,true,2,1200,2134.228992,931.299328,2500
c5ad.24xlarge,4.1280000000,183.0,96,48,4300.8,204800,true,2,1900,3379.2,1474.56,3125
c5ad.2xlarge,0.3440000000,15.25,8,4,358.4,17066.66667,true,1,300,266.780672,116.412416,312.5
c5ad.4xlarge,0.6880000000,30.5,16,8,716.8,34133.33333,true,2,300,533.553152,232.824832,625
c5ad.8xlarge,1.3760000000,61.0,32,16,1433.6,68266.66667,true,2,600,1067.114496,465.649664,1250
c5ad.xlarge,0.1720000000,7.5,4,2,179.2,8533.333333,true,1,150,133.390336,58.208256,156.25
c5d.12xlarge,2.3040000000,96.0,48,24,2304,131230,true,2,900,2867.2,1392.64,1500
c5d.18xlarge,3.4560000000,144.0,72,36,3456,196845,true,2,900,2867.2,1392.64,2500
c5d.24xlarge,4.6080000000,192.0,96,48,4608,262460,true,4,900,5734.4,2785.28,3125
c5d.2xlarge,0.3840000000,16.0,8,4,384,21871.66667,true,1,200,327.68,151.552,312.5
c5d.4xlarge,0.7680000000,32.0,16,8,768,43743.33333,true,1,400,716.8,307.2,625
